UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
109230,50549,104 34 22.16,21 18 20.46,-104.5728213,21.30568206,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Santa María del Oro,14
109240,0,104 19 50.75,21 18 34.41,-104.3307644,21.30955952,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
109250,50559,104 5 19.32,21 18 47,-104.088699,21.31305578,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,La Yesca,19
109260,50564,103 50 47.85,21 18 58.2,-103.846624,21.31616688,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
109280,50574,103 21 44.79,21 19 16.48,-103.3624416,21.32124442,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Teúl de González Ortega,47
109300,0,102 52 41.59,21 19 29.24,-102.8782184,21.32478803,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Nochistlán de Mejía,34
109350,0,101 40 3.42,21 19 37,-101.6676174,21.32694514,Jalisco,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Lagos de Moreno,53
109420,0,99 58 22.41,21 18 49.98,-99.97289051,21.31388361,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Xichú,45
109430,50649,99 43 50.98,21 18 37.74,-99.73082669,21.31048472,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Atarjea,6
109440,0,99 29 19.57,21 18 24.14,-99.4887685,21.30670459,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Jalpan de Serra,9
109460,50664,99 0 16.92,21 17 52.78,-99.00469883,21.29799543,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Xilitla,54
109531,50699,90 15 56.39,20 52 34.77,-90.26566258,20.87632465,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Celestún,11
109581,50724,89 3 50.35,20 46 44.1,-89.06398695,20.77891646,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Xocchel,103
109591,50729,88 49 25.92,20 45 29.88,-88.82386726,20.75829977,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Sudzal,71
109601,50734,88 35 1.73,20 44 14.3,-88.58381431,20.73730586,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tinum,91
109611,50739,88 20 37.82,20 42 57.36,-88.34383918,20.71593406,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Uayma,99
109621,50744,88 6 14.21,20 41 39.06,-88.10394803,20.69418447,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Valladolid,102
109631,50749,87 51 50.86,20 40 19.41,-87.86412743,20.67205937,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Chemax,19
109641,50754,87 37 27.8,20 38 58.4,-87.62438863,20.64955645,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Solidaridad,8
109651,50759,87 23 5.04,20 37 36.03,-87.38473292,20.62667593,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Solidaridad,8
109661,50764,87 8 42.56,20 36 12.31,-87.14515658,20.60341983,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Solidaridad,8
110133,50308,105 6 22.78,21 20 28.19,-105.1063286,21.34116454,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Xalisco,8
110147,50315,104 46 2.59,21 20 51.61,-104.7673867,21.34766888,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Santa María del Oro,14
