UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
63762,62240,18 35 27,-88 30 31,-88.508611,18.590833,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Othón P. Blanco,4
63772,62245,18 34 10,-88 16 21,-88.2725,18.569444,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Othón P. Blanco,4
63782,0,18 31 48,-87 50 51,-87.8475,18.53,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
63786,62252,18 31 16,-87 45 11,-87.753056,18.521111,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
64308,0,19 13 23,-104 20 33,-104.3425,19.223056,Colima,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Manzanillo,7
64318,61756,19 13 35,-104 06 14,-104.103889,19.226389,Colima,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Manzanillo,7
64358,61776,19 14 12,-103 09 02,-103.150556,19.236667,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Tecalitlán,87
64398,61796,19 14 28,-102 11 49,-102.196944,19.241111,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Tancítaro,83
64408,61801,19 14 28,-101 57 30,-101.958333,19.241111,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Gabriel Zamora,33
64438,61816,19 14 21,-101 14 36,-101.243333,19.239167,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Madero,49
