UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
230629,20296,27 30 23,-108 21 12,-108.3533333,27.5063889,Chihuahua,NOROESTE,INFYS,true,false,true,true,false,false,false,false,6,1,2,Guazapares,8030
230639,20301,27 30 58,-108 05 59,-108.0997222,27.5161111,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,false,4,1,2,Guazapares,8030
230659,20311,27 32 05,-107 35 33,-107.5925,27.5347222,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Guachochi,8027
230665,20314,27 32 24,-107 26 25,-107.4402778,27.54,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,false,6,1,2,Guachochi,8027
230669,0,27 32 36,-107 20 20,-107.3388889,27.5433333,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,Guachochi,8027
230679,20321,27 33 06,-107 05 07,-107.0852778,27.5516667,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,false,1,1,2,Carichí,8012
230709,0,27 34 26,-106 19 26,-106.3238889,27.5738889,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,Satevó,8061
230745,0,27 35 45,-105 24 36,-105.41,27.5958333,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,San Francisco de Conchos,8058
230749,0,27 35 52,-105 18 30,-105.3083333,27.5977778,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,San Francisco de Conchos,8058
230789,20376,27 36 56,-104 17 34,-104.2927778,27.6155556,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,Camargo,8011
230825,0,27 37 34,-103 22 42,-103.3783333,27.6261111,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,Ocampo,5023
230829,20396,27 37 37,-103 16 36,-103.2766667,27.6269444,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,true,false,false,false,false,true,2,1,2,Ocampo,5023
230869,20416,27 37 54,-102 15 38,-102.2605556,27.6316667,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,true,false,true,false,false,true,2,1,2,Ocampo,5023
230905,20434,27 37 50,-101 20 46,-101.3461111,27.6305556,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,true,false,false,false,false,false,2,1,2,Progreso,5026
